Timestamp,Student_ID,Event_Name,Event_Type,Department,Rating,Feedback_Comment,Subject_Knowledge_Score,Concept_Clarity_Score,Use_of_PPT,Assignment_Difficulty_Level,Sentiment
01-12-2023 00:00,STU2000,AI Workshop,Workshop,Civil,5,The AI Workshop was an amazing and highly informative experience for all students.,5,4,1,2,Positive
10-06-2023 00:00,STU2001,Tech Fest 2023,Fest,Cs,2,"I hated the Tech Fest 2023, it was terrible and a complete waste of time today.",3,3,1,5,Negative
26-11-2023 00:00,STU2002,Tech Fest 2023,Fest,It,1,"I hated the Tech Fest 2023, it was terrible and a complete waste of time today.",2,3,1,3,Negative
14-06-2023 00:00,STU2003,Tech Fest 2023,Fest,It,5,The Tech Fest 2023 was an amazing and highly informative experience for all students.,4,4,1,1,Positive
25-01-2023 00:00,STU2004,Tech Fest 2023,Fest,It,4,The Tech Fest 2023 was an amazing and highly informative experience for all students.,5,4,1,4,Positive
20-01-2023 00:00,STU2005,Hackathon,Hackathon,Cs,5,The Hackathon was an amazing and highly informative experience for all students.,4,4,1,2,Positive
27-11-2023 00:00,STU2006,AI Workshop,Workshop,Mech,3,"The AI Workshop was decent, but it felt a little bit repetitive in some sections.",1,2,1,4,Neutral
14-03-2023 00:00,STU2007,AI Workshop,Workshop,Cs,4,The AI Workshop was an amazing and highly informative experience for all students.,4,4,1,3,Positive
01-01-2023 00:00,STU2008,Tech Fest 2023,Fest,Cs,4,The Tech Fest 2023 was an amazing and highly informative experience for all students.,4,4,1,2,Positive
23-10-2023 00:00,STU2009,Tech Fest 2023,Fest,Civil,3,"The Tech Fest 2023 was decent, but it felt a little bit repetitive in some sections.",3,1,1,2,Neutral
05-02-2023 00:00,STU2010,Tech Fest 2023,Fest,Cs,1,"I hated the Tech Fest 2023, it was terrible and a complete waste of time today.",1,2,1,3,Negative
21-09-2023 00:00,STU2011,AI Workshop,Workshop,Civil,4,The AI Workshop was an amazing and highly informative experience for all students.,5,5,1,1,Positive
20-11-2023 00:00,STU2012,Hackathon,Hackathon,It,5,The Hackathon was an amazing and highly informative experience for all students.,5,4,1,5,Positive
16-08-2023 00:00,STU2013,Cloud Seminar,Seminar,Civil,4,The Cloud Seminar was an amazing and highly informative experience for all students.,5,4,1,5,Positive
01-02-2023 00:00,STU2014,Cloud Seminar,Seminar,Mech,5,The Cloud Seminar was an amazing and highly informative experience for all students.,4,4,1,1,Positive
27-11-2023 00:00,STU2015,AI Workshop,Workshop,Cs,4,The AI Workshop was an amazing and highly informative experience for all students.,5,4,1,4,Positive
25-07-2023 00:00,STU2016,Cloud Seminar,Seminar,Mech,4,The Cloud Seminar was an amazing and highly informative experience for all students.,5,5,1,5,Positive
12-04-2023 00:00,STU2017,Tech Fest 2023,Fest,Mech,4,The Tech Fest 2023 was an amazing and highly informative experience for all students.,5,4,1,1,Positive
07-05-2023 00:00,STU2018,Tech Fest 2023,Fest,Cs,4,The Tech Fest 2023 was an amazing and highly informative experience for all students.,4,4,1,3,Positive
11-12-2023 00:00,STU2019,AI Workshop,Workshop,It,5,The AI Workshop was an amazing and highly informative experience for all students.,4,5,1,1,Positive
11-03-2023 00:00,STU2020,Cloud Seminar,Seminar,It,5,The Cloud Seminar was an amazing and highly informative experience for all students.,5,5,1,3,Positive
26-06-2023 00:00,STU2021,Hackathon,Hackathon,Civil,4,The Hackathon was an amazing and highly informative experience for all students.,5,5,1,3,Positive
04-08-2023 00:00,STU2022,Cloud Seminar,Seminar,Civil,1,"I hated the Cloud Seminar, it was terrible and a complete waste of time today.",3,2,1,3,Negative
29-07-2023 00:00,STU2023,AI Workshop,Workshop,Civil,4,The AI Workshop was an amazing and highly informative experience for all students.,5,4,1,1,Positive
23-10-2023 00:00,STU2024,AI Workshop,Workshop,Mech,1,"I hated the AI Workshop, it was terrible and a complete waste of time today.",2,3,1,5,Negative
23-02-2023 00:00,STU2025,Cloud Seminar,Seminar,It,5,The Cloud Seminar was an amazing and highly informative experience for all students.,5,4,1,5,Positive
29-07-2023 00:00,STU2026,Tech Fest 2023,Fest,It,2,"I hated the Tech Fest 2023, it was terrible and a complete waste of time today.",2,3,1,1,Negative
10-09-2023 00:00,STU2027,Tech Fest 2023,Fest,Mech,4,The Tech Fest 2023 was an amazing and highly informative experience for all students.,5,5,1,4,Positive
24-11-2023 00:00,STU2028,Hackathon,Hackathon,Mech,5,The Hackathon was an amazing and highly informative experience for all students.,5,5,1,3,Positive
27-09-2023 00:00,STU2029,AI Workshop,Workshop,Mech,5,The AI Workshop was an amazing and highly informative experience for all students.,5,5,1,4,Positive
01-12-2023 00:00,STU2030,Tech Fest 2023,Fest,Civil,5,The Tech Fest 2023 was an amazing and highly informative experience for all students.,5,5,1,3,Positive
16-04-2023 00:00,STU2031,AI Workshop,Workshop,Mech,5,The AI Workshop was an amazing and highly informative experience for all students.,5,5,1,3,Positive
10-10-2023 00:00,STU2032,Cloud Seminar,Seminar,Mech,4,The Cloud Seminar was an amazing and highly informative experience for all students.,4,4,1,5,Positive
08-06-2023 00:00,STU2033,Hackathon,Hackathon,Cs,5,The Hackathon was an amazing and highly informative experience for all students.,5,4,1,3,Positive
21-07-2023 00:00,STU2034,Hackathon,Hackathon,It,5,The Hackathon was an amazing and highly informative experience for all students.,5,5,1,3,Positive
12-12-2023 00:00,STU2035,AI Workshop,Workshop,Cs,5,The AI Workshop was an amazing and highly informative experience for all students.,4,5,1,4,Positive
10-08-2023 00:00,STU2036,Cloud Seminar,Seminar,Mech,4,The Cloud Seminar was an amazing and highly informative experience for all students.,5,5,1,1,Positive
01-05-2023 00:00,STU2037,Tech Fest 2023,Fest,Cs,5,The Tech Fest 2023 was an amazing and highly informative experience for all students.,5,4,1,3,Positive
